"","Pixel_Number","Log_Frequency","Log_Brightness_Temperature","Fit","Concave/Convex"
"132","132","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.65478666  2.82321421  4.90470563 -3.06776071  1.77079296  4.19040118]","[-2.60875319  8.53011325]","Convex"
"133","133","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.6434753   2.80477143  4.89668613 -3.09386518  1.76121497  4.18256593]","[-2.61389774  8.5296802 ]","Convex"
"134","134","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.63980112  2.75049222  4.82491828 -3.0917185   1.72047635  4.11082477]","[-2.58574428  8.4178967 ]","Convex"
"135","135","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.62669371  2.76597478  4.79057782 -3.11841306  1.70790053  4.07668768]","[-2.58422228  8.39645441]","Convex"
"136","136","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.62730729  2.62809692  4.74948537 -3.06092426  1.63072356  4.03580996]","[-2.54496746  8.25655771]","Convex"
"137","137","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.62801491  2.65774521  4.75003701 -3.10834337  1.65175775  4.0361192 ]","[-2.56087123  8.29790809]","Convex"
"138","138","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.61284313  2.59692477  4.66125957 -3.07169144  1.56946938  3.94755869]","[-2.51766205  8.13792281]","Convex"
"139","139","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.60899813  2.61207235  4.65461958 -3.13061064  1.57624288  3.94102224]","[-2.53426517  8.17124756]","Convex"
"140","140","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.6256628   2.69481993  4.78808151 -3.11697089  1.6729231   4.07413651]","[-2.57898163  8.36463246]","Convex"
"141","141","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.6173961   2.73159852  4.78979812 -3.12380401  1.68285639  4.07630351]","[-2.5846836   8.38508501]","Convex"
"142","142","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.6088048   2.64857723  4.71553493 -3.13626685  1.61883544  4.00240805]","[-2.5590414   8.26700359]","Convex"
"143","143","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.60856604  2.69703324  4.78848239 -3.13327966  1.6572954   4.07608869]","[-2.58623345  8.37570911]","Convex"
"144","144","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.62366516  2.77107299  4.86357631 -3.11990413  1.72270704  4.15010622]","[-2.6105695   8.49059103]","Convex"
"145","145","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.60252025  2.7317697   4.76476184 -3.1448268   1.65389466  4.05152186]","[-2.5841018   8.36451724]","Convex"
"146","146","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.62071147  2.77300642  4.85931294 -3.11902206  1.72280248  4.14590832]","[-2.60924579  8.48579903]","Convex"
"147","147","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.6079745   2.76708497  4.82556796 -3.13362427  1.6932261   4.11230442]","[-2.60311454  8.44847038]","Convex"
"148","148","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58185429  2.68154164  4.65176535 -3.1701354   1.5724316   3.93887824]","[-2.552245    8.21608387]","Convex"
"149","149","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56956208  2.64191334  4.62027325 -3.17939483  1.52584305  3.9072708 ]","[-2.54330704  8.16481944]","Convex"
"150","150","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58947835  2.73350445  4.74181934 -3.15477855  1.62802735  4.02895484]","[-2.5808322   8.34074245]","Convex"
"151","151","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57779287  2.68962812  4.67433979 -3.1665973   1.57693427  3.9613859 ]","[-2.55987956  8.24507208]","Convex"
"152","152","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.6129714   2.76397348  4.82638431 -3.12627813  1.70023432  4.11345343]","[-2.60048657  8.44480482]","Convex"
"153","153","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.60394855  2.76926055  4.80717344 -3.138866    1.68710078  4.09441336]","[-2.59896301  8.42963595]","Convex"
"154","154","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.60294092  2.73284139  4.76766629 -3.14016683  1.66537358  4.0555243 ]","[-2.58378622  8.36780239]","Convex"
"155","155","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59571627  2.73232796  4.76321274 -3.15261535  1.65452815  4.05105116]","[-2.58676174  8.3687284 ]","Convex"
"156","156","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59513088  2.74492652  4.79141386 -3.14645696  1.66347386  4.07886784]","[-2.59540718  8.40462494]","Convex"
"157","157","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58806822  2.70171719  4.76881189 -3.16047282  1.62896727  4.05625037]","[-2.59013425  8.36717982]","Convex"
"158","158","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59208249  2.71536895  4.76624647 -3.15653785  1.64793664  4.05402412]","[-2.5883645   8.36863114]","Convex"
"159","159","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58901093  2.69036967  4.75305249 -3.16002507  1.63094042  4.04054572]","[-2.58371681  8.34424452]","Convex"
"160","160","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.60235177  2.56002344  4.61271776 -3.07676858  1.53018372  3.89886675]","[-2.50145524  8.06510697]","Convex"
"161","161","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59793512  2.56735035  4.63690654 -3.12123977  1.54364085  3.92318712]","[-2.52395721  8.12587439]","Convex"
"162","162","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59415514  2.52682051  4.5767351  -3.07378509  1.50085999  3.86248794]","[-2.48706166  8.00506174]","Convex"
"163","163","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59077495  2.53704792  4.62375514 -3.11112435  1.52222244  3.91063652]","[-2.51550632  8.09191841]","Convex"
"164","164","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59574481  2.60818492  4.65952918 -3.13904165  1.57650734  3.94658552]","[-2.53967151  8.18255808]","Convex"
"165","165","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59795385  2.65310886  4.73597493 -3.14558092  1.6199469   4.02380236]","[-2.57042611  8.30057984]","Convex"
"166","166","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58967679  2.58359165  4.65081444 -3.12971041  1.55489747  3.93841724]","[-2.53323482  8.15617791]","Convex"
"167","167","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58923848  2.61251862  4.70376037 -3.15492995  1.58097942  3.99137942]","[-2.56075723  8.24888674]","Convex"
"168","168","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58463136  2.50510155  4.54131288 -3.09785471  1.46971241  3.82679669]","[-2.48184342  7.96549613]","Convex"
"169","169","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58206908  2.51488845  4.58330961 -3.13573452  1.49530845  3.87065937]","[-2.50866171  8.04733342]","Convex"
"170","170","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57701594  2.49124181  4.50198704 -3.13078201  1.45086767  3.78783907]","[-2.47818588  7.93091649]","Convex"
"171","171","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57488845  2.4894699   4.5624792  -3.15717582  1.47268104  3.84921081]","[-2.50712829  8.02359962]","Convex"
"172","172","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58238192  2.5446613   4.63101579 -3.15540839  1.5249695   3.91832594]","[-2.53263482  8.13102473]","Convex"
"173","173","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58115843  2.56559817  4.63751818 -3.17185218  1.54337386  3.92454595]","[-2.54100528  8.15809711]","Convex"
"174","174","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57588599  2.50709949  4.58996348 -3.17297033  1.49572473  3.87671067]","[-2.52216878  8.07542061]","Convex"
"175","175","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57449625  2.5174601   4.60608103 -3.18234547  1.50389889  3.89251116]","[-2.53122659  8.10512725]","Convex"
"176","176","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59348209  2.67233835  4.73004841 -3.15698443  1.62317085  4.0180559 ]","[-2.57340754  8.30733157]","Convex"
"177","177","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58675512  2.6719658   4.71646025 -3.16703243  1.60976231  4.00421642]","[-2.57243991  8.29520074]","Convex"
"178","178","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58480686  2.61956804  4.67444158 -3.17335379  1.58176376  3.96186343]","[-2.55692425  8.22680552]","Convex"
"179","179","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58086951  2.61857353  4.69537436 -3.17723362  1.57752303  3.98300867]","[-2.56576721  8.25418736]","Convex"
"180","180","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58421401  2.66751621  4.69775781 -3.16663688  1.60785841  3.98538086]","[-2.56579927  8.27059826]","Convex"
"181","181","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58397597  2.66502193  4.74286789 -3.16296732  1.61251445  4.03016116]","[-2.58015296  8.32310551]","Convex"
"182","182","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57713396  2.62232382  4.65856086 -3.18103436  1.57083889  3.94607246]","[-2.55476335  8.21209748]","Convex"
"183","183","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57577037  2.63256015  4.68023745 -3.18015302  1.58040326  3.96724752]","[-2.56262977  8.24251382]","Convex"
"184","184","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57877213  2.56812587  4.66439107 -3.17895518  1.54856617  3.9516722 ]","[-2.55285152  8.1970029 ]","Convex"
"185","185","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57412713  2.56299568  4.63056649 -3.1842837   1.53399601  3.91767706]","[-2.54295959  8.15553548]","Convex"
"186","186","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57042423  2.50812192  4.59399243 -3.19385249  1.493337    3.8801246 ]","[-2.53036378  8.09293523]","Convex"
"187","187","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56429644  2.49331604  4.55276501 -3.20572598  1.4727924   3.83841569]","[-2.51942436  8.04233156]","Convex"
"188","188","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56925598  2.56528044  4.63428806 -3.1947086   1.52968243  3.920801  ]","[-2.54795685  8.16652894]","Convex"
"189","189","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56844363  2.5772245   4.64471156 -3.19577199  1.54482957  3.93173854]","[-2.55263882  8.1862279 ]","Convex"
"190","190","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5601604   2.49038042  4.5654598  -3.21084114  1.47401597  3.85175788]","[-2.52568317  8.06080007]","Convex"
"191","191","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56020737  2.50775919  4.57732241 -3.20649882  1.49205739  3.86461767]","[-2.52953821  8.08138344]","Convex"
"192","192","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55783791  2.58795177  4.56698001 -3.19780636  1.47276118  3.85311393]","[-2.52854683  8.08641821]","Convex"
"193","193","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54797632  2.50016162  4.49467876 -3.21825354  1.42317736  3.77999041]","[-2.50548786  7.97544706]","Convex"
"194","194","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56235835  2.60888649  4.5863484  -3.19524994  1.50449213  3.87286105]","[-2.53508903  8.11957323]","Convex"
"195","195","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54807663  2.50299225  4.51070489 -3.22522845  1.4307609   3.79604417]","[-2.51323902  8.00114447]","Convex"
"196","196","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5444895   2.44733726  4.4869049  -3.23254107  1.39571803  3.77175124]","[-2.50436267  7.95356667]","Convex"
"197","197","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54025642  2.42772549  4.45786991 -3.24315953  1.36728941  3.74298858]","[-2.49699126  7.91465907]","Convex"
"198","198","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54187147  2.44649526  4.45467478 -3.24040706  1.38230617  3.73921789]","[-2.49581614  7.91686125]","Convex"
"199","199","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5382314   2.42733117  4.43142776 -3.24507886  1.35504787  3.7162962 ]","[-2.48863993  7.88174905]","Convex"
"200","200","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5707957   2.62974381  4.65264314 -3.18902831  1.54933123  3.93992269]","[-2.5563734   8.20945424]","Convex"
"201","201","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55342184  2.5395344   4.52916164 -3.21915837  1.46004696  3.81518171]","[-2.51936219  8.0358945 ]","Convex"
"202","202","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5783203   2.64972914  4.69727207 -3.17686528  1.58311182  3.98436679]","[-2.56835605  8.2670906 ]","Convex"
"203","203","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56388968  2.58722133  4.61751691 -3.20538125  1.51354625  3.90342957]","[-2.54728695  8.15742496]","Convex"
"204","204","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54252765  2.47339902  4.46284282 -3.2405029   1.39154388  3.74751601]","[-2.50020395  7.93690887]","Convex"
"205","205","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.53714573  2.4382526   4.42814432 -3.24749643  1.352741    3.71331782]","[-2.48907326  7.88266205]","Convex"
"206","206","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54885533  2.51536847  4.50973798 -3.23153432  1.43302474  3.79494133]","[-2.51543449  8.00791546]","Convex"
"207","207","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.53821614  2.4590239   4.44282426 -3.24896849  1.36603378  3.72752698]","[-2.49558696  7.90969331]","Convex"
"208","208","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.53457422  2.40949443  4.42663333 -3.25279197  1.33768154  3.71193557]","[-2.48878768  7.87283767]","Convex"
"209","209","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.52788819  2.38068666  4.38238876 -3.259692    1.30980265  3.66739665]","[-2.47460377  7.81016783]","Convex"
"210","210","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.53480457  2.41206947  4.42535804 -3.24955284  1.3361124   3.71083514]","[-2.48755199  7.87003734]","Convex"
"211","211","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.52769533  2.38307924  4.38236516 -3.25450877  1.30905093  3.66766416]","[-2.47326071  7.80788969]","Convex"
"212","212","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.51899157  2.34843518  4.34957811 -3.25990708  1.28079637  3.63453344]","[-2.46244679  7.75650092]","Convex"
"213","213","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5127465   2.31743433  4.30099603 -3.26793701  1.25054559  3.58591866]","[-2.44697723  7.68827557]","Convex"
"214","214","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.51884368  2.35265885  4.36088678 -3.25608466  1.28247197  3.64648442]","[-2.46558597  7.76997619]","Convex"
"215","215","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.51356056  2.32157325  4.3061818  -3.26631428  1.24938161  3.59165355]","[-2.44856097  7.69503524]","Convex"
"216","216","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.53364093  2.41507565  4.40029976 -3.25110634  1.32892123  3.68566789]","[-2.47966584  7.8404111 ]","Convex"
"217","217","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.52770599  2.38486266  4.39137646 -3.25071493  1.31167641  3.67719316]","[-2.47541555  7.81784217]","Convex"
"218","218","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.53264163  2.42176294  4.40036514 -3.25477764  1.33058404  3.68523589]","[-2.48120976  7.84489933]","Convex"
"219","219","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.52780731  2.38611206  4.39958068 -3.25202139  1.31554701  3.68514329]","[-2.47864854  7.82942924]","Convex"
"220","220","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.51982066  2.35704485  4.35494212 -3.25322239  1.28559293  3.64129932]","[-2.46291666  7.76320714]","Convex"
"221","221","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.51555017  2.32312823  4.31901334 -3.26349261  1.2561162   3.60506953]","[-2.4520918   7.71059479]","Convex"
"222","222","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.52138665  2.35908782  4.36268696 -3.25495904  1.29364558  3.64851148]","[-2.46593827  7.77505741]","Convex"
"223","223","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.51801649  2.32340753  4.34564758 -3.26185245  1.27096284  3.63182509]","[-2.46049698  7.74412666]","Convex"
"224","224","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58022397  2.65310701  4.71171716 -3.17241611  1.59558816  3.99872425]","[-2.57192361  8.28468733]","Convex"
"225","225","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57089931  2.61471331  4.66309869 -3.19471175  1.54833082  3.94967281]","[-2.5606777   8.22019345]","Convex"
"226","226","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57586078  2.6352689   4.71209423 -3.1781667   1.58317287  3.99928668]","[-2.57326438  8.2815342 ]","Convex"
"227","227","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57198145  2.61229312  4.65775792 -3.18752691  1.55741386  3.94522825]","[-2.55645316  8.21028083]","Convex"
"228","228","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55685177  2.54863382  4.58548542 -3.21749402  1.47783404  3.87191926]","[-2.53854098  8.10896261]","Convex"
"229","229","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54261619  2.48630506  4.45748397 -3.24044852  1.39608015  3.74342649]","[-2.49925455  7.93584461]","Convex"
"230","230","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56245155  2.56582382  4.60577459 -3.20313831  1.50509887  3.8930309 ]","[-2.54164163  8.13450259]","Convex"
"231","231","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54836681  2.51257653  4.51771523 -3.22636226  1.42754245  3.80463099]","[-2.51684363  8.01385394]","Convex"
